010484,0,1964
036572,1,1964
047155,0,1967
002765,2,1968
004885,3,1968
030594,4,1968
007644,5,1969
061405,6,1969
062360,0,1969
086517,7,1969
033612,8,1970
041921,9,1970
075407,10,1970
008618,9,1971
072173,11,1971
090293,9,1971
104209,7,1971
020231,12,1972
022017,12,1972
045893,9,1972
010635,13,1973
140682,10,1973
007379,5,1974
011913,0,1974
051350,14,1974
097716,2,1974
116327,8,1974
003323,9,1975
021228,10,1975
071228,15,1975
087005,16,1975
093029,9,1975
111070,1,1975
123633,1,1975
140080,1,1975
146433,9,1975
004296,4,1976
005746,1,1976
018045,5,1976
021707,17,1976
024713,18,1976
028607,7,1976
034693,19,1976
042143,0,1976
061143,20,1976
075309,12,1976
075796,16,1976
084988,5,1976
086525,4,1976
088497,2,1976
094753,6,1976
098193,4,1976
101287,21,1976
109466,10,1976
127196,22,1976
129829,2,1976
157973,15,1976
002337,17,1977
009147,15,1977
046335,1,1977
046336,1,1977
046577,10,1977
053726,1,1977
055540,4,1977
066610,1,1977
070869,21,1977
079950,1,1977
092715,1,1977
096837,21,1977
102113,2,1977
110470,10,1977
116782,0,1977
129676,1,1977
129677,1,1977
130007,9,1977
138798,9,1977
139237,23,1977
139940,8,1977
149362,16,1977
149363,16,1977
150035,9,1977
150447,10,1977
150883,4,1977
152249,16,1977
154670,2,1977
004050,15,1978
006699,9,1978
014132,24,1978
037736,22,1978
039281,8,1978
042959,13,1978
047472,13,1978
047958,9,1978
056724,15,1978
066946,25,1978
106757,9,1978
150529,7,1978
154103,15,1978
159156,2,1978
017589,26,1979
017590,26,1979
023944,2,1979
026125,7,1979
034875,27,1979
044516,1,1979
045821,7,1979
046955,12,1979
065356,9,1979
070395,5,1979
070782,16,1979
103288,9,1979
105945,1,1979
112141,2,1979
128475,4,1979
131471,4,1979
142879,16,1979
147138,9,1979
150437,11,1979
150438,11,1979
151019,11,1979
157569,0,1979
159977,7,1979
172081,9,1979
173092,16,1979
002706,9,1980
009920,8,1980
015394,10,1980
017045,19,1980
027182,9,1980
055172,16,1980
055503,9,1980
057132,2,1980
066987,4,1980
071427,28,1980
071738,9,1980
075562,5,1980
077208,9,1980
077209,17,1980
077210,20,1980
077212,2,1980
078284,8,1980
082652,3,1980
085595,16,1980
093241,6,1980
093824,0,1980
095338,4,1980
100463,2,1980
114088,0,1980
120473,25,1980
125205,7,1980
126095,15,1980
133024,15,1980
133496,16,1980
144082,15,1980
147562,22,1980
147758,1,1980
161617,2,1980
173764,4,1980
185103,6,1980
500888,9,1980
002241,5,1981
008672,29,1981
011817,1,1981
017184,30,1981
017276,6,1981
031147,9,1981
034085,31,1981
034087,15,1981
039128,8,1981
049987,4,1981
051361,4,1981
051363,18,1981
069832,28,1981
101208,5,1981
130033,4,1981
139679,26,1981
139978,20,1981
140598,1,1981
156551,8,1981
170798,9,1981
175783,32,1981
178376,10,1981
186477,5,1981
188012,33,1981
202381,9,1981
004604,15,1982
005110,7,1982
020069,34,1982
026951,11,1982
037119,13,1982
061000,2,1982
063405,0,1982
