1983,1
1993,1
1994,1
1996,2
1997,2
1998,3
1999,5
2000,22
2001,21
2002,18
2003,16
2004,14
2005,12
2006,15
2007,13
2008,9
2009,5
2010,2
2011,5
2012,7
